order_id,customer_id,order_date,status,country,segment,signup_date,order_item_id,product_id,quantity,category,price,payment_id,payment_method,payment_status,revenue,valid_order
1,3,2024-05-10,Delivered,France,Consumer,2023-03-10,951.0,79.0,1.0,Electronics,372.96,177.0,Bank Transfer,Success,372.96,True
1,3,2024-05-10,Delivered,France,Consumer,2023-03-10,2961.0,62.0,4.0,Electronics,359.2,177.0,Bank Transfer,Success,1436.8,True
1,3,2024-05-10,Delivered,France,Consumer,2023-03-10,4584.0,10.0,3.0,Sports,159.86,177.0,Bank Transfer,Success,479.58000000000004,True
2,160,2024-12-18,Delivered,Italy,Corporate,2024-02-14,,,,,,1543.0,Bank Transfer,Success,,True
3,227,2024-07-14,Delivered,France,Consumer,2024-02-26,103.0,20.0,4.0,Clothing,263.61,725.0,PayPal,Success,1054.44,True
3,227,2024-07-14,Delivered,France,Consumer,2024-02-26,103.0,20.0,4.0,Clothing,263.61,1339.0,Bank Transfer,Success,1054.44,True
3,227,2024-07-14,Delivered,France,Consumer,2024-02-26,2012.0,78.0,4.0,Clothing,494.65,725.0,PayPal,Success,1978.6,True
3,227,2024-07-14,Delivered,France,Consumer,2024-02-26,2012.0,78.0,4.0,Clothing,494.65,1339.0,Bank Transfer,Success,1978.6,True
3,227,2024-07-14,Delivered,France,Consumer,2024-02-26,2319.0,78.0,4.0,Clothing,494.65,725.0,PayPal,Success,1978.6,True
3,227,2024-07-14,Delivered,France,Consumer,2024-02-26,2319.0,78.0,4.0,Clothing,494.65,1339.0,Bank Transfer,Success,1978.6,True
3,227,2024-07-14,Delivered,France,Consumer,2024-02-26,2856.0,76.0,3.0,Electronics,302.4,725.0,PayPal,Success,907.1999999999999,True
3,227,2024-07-14,Delivered,France,Consumer,2024-02-26,2856.0,76.0,3.0,Electronics,302.4,1339.0,Bank Transfer,Success,907.1999999999999,True
3,227,2024-07-14,Delivered,France,Consumer,2024-02-26,4148.0,63.0,1.0,Sports,296.61,725.0,PayPal,Success,296.61,True
3,227,2024-07-14,Delivered,France,Consumer,2024-02-26,4148.0,63.0,1.0,Sports,296.61,1339.0,Bank Transfer,Success,296.61,True
3,227,2024-07-14,Delivered,France,Consumer,2024-02-26,4523.0,74.0,1.0,Home,491.25,725.0,PayPal,Success,491.25,True
3,227,2024-07-14,Delivered,France,Consumer,2024-02-26,4523.0,74.0,1.0,Home,491.25,1339.0,Bank Transfer,Success,491.25,True
